phrase,topics1,topics2,topics3,topics4,
можно ли с кредитной карты оплатить обучение в университете /садик,Вместо консультации на оператора,,,,
можно связаться с верой,Оператор (Operator),_General Оператор (_General_Operator),,,
на горячую линию домклик,_General Оформление Ипотеки (_General_Reg_Mortage),,,,
заблокирован перевод/Перевела деньги заблокировали/ разблокировать перевод,Проблема с переводом (_Local_Cant_Transfer),,,,
персональный менеджер,Оператор (Operator),_General Оператор (_General_Operator),,,
войти в программу долями,_General_Podeli (_General_Подели) ,,,,
почему поставили ограничения на переводы,Проблема с переводом (_Local_Cant_Transfer),,,,
апельсиновая карта,_General_Банк X5 (_General_X5),,,,
вопрос по изготовлению карты,УВ Получение карты (UV_TakeCard),,,,
Потерял симку/номер,Разблокировать карту (_General_UnBlock),,,,
подключить карту,УВ Карта (UV_Card),Карта (_Local_Card),,,
справки и выписки,Выписка (_General_BankStatement),Движение денежных средств (_Local_Transactions),,,
Нет доступа к карте/счету;Восстановить доступ к карте/счету  ,"Вместо консультации на оператора
",,,,
Восстановить доступ,_General Без вопроса (_General_Whithout_Question),,,,
Сделать вклад на накопительный счёт,_General Накопительный счет (_General_Saving),,,,
договор,_General Без вопроса (_General_Whithout_Question),,,,
Поменять выбранные категории кэшбэка ,"Вместо консультации на оператора
",,,,
Ограничения на снятие наличных/денежных средств,УВ Снятие наличных (UV_CashWithdrawal),Снятие наличных (_Local_Cash_Withdrawal),,,
Номер не совпадает с карточкой,Вместо консультации на оператора,,,,
телефон горячей линии,_General Приветствие (_General_Hello),,,,
реквизиты банка зарплатный проект,_General Номер счета УКД (_General_REKVISIT_UKD),,,,
не могу зайти в приложение просит позвонить в банк,_General Разблокировать приложение (_General_Unlock_App),Нет доступа (_Local_No_Access),,,
восстановить номер карты,Вместо консультации на оператора,,,,
заблокировать карту взломали мошенники,_General Мошенничество_UNI (_General_Fraud_UNI),,,,
два раза оплачен штраф,Отменить платеж (_Local_Cancel_Payment),Вернуть деньги (_Local_Return_Money),,,
Партнеры,Терминалы партнеров (_Local_PartnerSalon_PaymentTerminal),Банкоматы партнеров (_Local_ATM_Partners),,,
возврат денежных средств по азс заправки,_General Отмена платежа (_General_Cancel_Payment),,,,
сохранение прожиточного минимума,Вместо консультации на оператора,,,,
Позовите\ Позовите кожанного мешка\ Соедините с кожанным,Оператор (Operator),_General Оператор (_General_Operator),,,
пополнение кредитной карты,Способы погашения_пополнения (_General_Repay_credit),О способах пополнения (_Local_Repay_Credit),,,
у меня по терминалу не проходит оплата по qr коду ,_General Платеж по QR (_General_Payment_QR),,,,
не проходит оплата по терминалу по карте,_General Карта не работает (_General_Cardnotworking),,,,
снять наличные,УВ Снятие наличных (UV_CashWithdrawal),Снятие наличных (_Local_Cash_Withdrawal),,,
переведите на,_General Без вопроса (_General_Whithout_Question),,,,
Добрый день позовите оператора/алло оператора,_General Приветствие (_General_Hello),,,,
заблокировать карту,Потерял карту (_Local_Lost_Card),,,,
дебетовую хотел отключить,Дебетовая карта (_Local_Debit_Card),,,,
Награждение деньги вам и друзьям,Акция (_Local_Action),,,,
мне не пришел кб,Проблема (_Local_Some_Problems),Кэшбэк (_Local_Cashback),,,
Вывести деньги,_General Без вопроса (_General_Whithout_Question),,,,
проверил деньги не пришли/срок зачисления/когда придут деньги,Не зачислил деньги на карту (_Local_Didnt_Money_On_Card),Не дошел (платеж) (_Local_Not_Received),Когда поступят деньги (_Local_Get_Money),Статус (_Local_Status),Да (Agree)
все вместе и то и другое не зачислил и не вернул карту,УВ Проблемы с банкоматами (UV_ATM_Problems),Проблема с банкоматом (_Local_ATM_Problem),Банкоматы (_Local_ATM),,
войти в личный кабинет по временному паролю или другим данным,Временный пароль (_Local_Temp_Password),,,,
зайти по номеру карты,Получается (или дословно Можно войти) (_Local_Can_Enter),,,,
вопрос по оформлению кредита/получить кредит,_General Заказ продуктов банка (_General_OrderCards),Оформить кредит (_Local_New_Credit),,,
Вопрос по моему кредиту/оформил кредит ,Имеющийся кредит (_Local_Current_Credit),Другой кредит (_Local_Other_Credit),Кредит наличными (Про платеж) (_Local_DIS_Credit),Кредит (_Local_Credit),
Кредит/кредит на карту,УВ Кредит (UV_Credit),Кредит (_Local_Credit),Другой кредит (_Local_Other_Credit),Кредит наличными (Про платеж) (_Local_DIS_Credit),
Лимит,УВ Лимит (UV_Limit),Лимиты (_Local_Limits),,,
Узнать про оформление,Новый продукт (_Local_Open),Оформить кредит (_Local_New_Credit),Оформить займ (_Local_New_MFO),,
Открыть счет и закрыть карту (когда 2 вопроса в одном),_General Без вопроса (_General_Whithout_Question),,,,
в АВС выбираем локал _Local_Activate с переводом Активация,,,,,
В приложении,_General АМ Подключение (_General_AM_Connection),Приложение или -Онлайн (_Local_AM_Online),Приложение (_Local_Application),,
Оформить карту,УВ Заказ новой карты (UV_OrderCard),Новый продукт (_Local_Open),,,
Перевыпустить карту,Действующая карта (CurrentCard),,,,
Деньги отправила на  банк а деньги не пришли,Статус (_Local_Status),Не дошел (платеж) (_Local_Not_Received),,,
Обе обе и кредитную и дебетовую карту хочу закрыть,"по обеим, обе (_Local_Both)",,,,
По кредитной карте вопрос о снятии наличности,УВ Снятие наличных (UV_CashWithdrawal),Снятие наличных (_Local_Cash_Withdrawal),,,
Да за что списали где где как бы узнать за что списали,Да (Agree),УВ Странные операции (UV_Strange_Operation),,,
Отказаться\ вопрос по закрытию,Отказаться (_Local_Refuse),,,,
Про кредитную которую перевожу с кредитной на дебетовую взимается комиссия,Перевод (_Local_Remittance),Комиссия (_Local_Commission),,,
По задолженности по кредиту,Кредит наличными (Про платеж) (_Local_DIS_Credit),,,,
Я хочу с кредитной карты/дебетовой отказаться от страховки/ отказаться от страховки по карте,Комиссия (_Local_Commission),Кредитная карта (именно карта) (_Local_CreditCard_Karta),,,
Процент за снятие наличных с кредитной карты,_General Проценты по КК (_General_Percent_Credit_Card),,,,
Невозможно перевести по номеру телефона,Проблема с переводом (_Local_Cant_Transfer),,,,
Ну тарифы,Условия (_Local_Conditions),,,,
Оплатить платеж по страховке,платеж (_Local_Payment),,,,
Не знаю,_General Без вопроса (_General_Whithout_Question),,,,
Войти в приложение / получить доступ к приложению / зарегистрироваться в приложении,Нет доступа (_Local_No_Access),,,,
Оплатить коммунальный платеж,_General Коммунальный платеж (_General_CommunalPayment),платеж (_Local_Payment),,,
Другой платеж,Другой платеж (_Local_Other_Payment),платеж (_Local_Payment),,,
Что-то безвопросное + оператор,_General Оператор (_General_Operator),Оператор (Operator),,,
Другой кредит,УВ Кредит (UV_Credit),Другой кредит (_Local_Other_Credit),Кредит (_Local_Credit),Кредит наличными (Про платеж) (_Local_DIS_Credit),
Банк отправителя не одобрил,Проблема с переводом (_Local_Cant_Transfer),,,,
Перевести с кредитной карты,УВ Перевод (UV_Remittance),Перевод (_Local_Remittance),,,
По другим данным,Получается (или дословно Можно войти) (_Local_Can_Enter),,,,
Какой процент по займу,Условия (_Local_Conditions),,,,
Узнать срок возврата,Когда поступят деньги (_Local_Get_Money),,,,
Вернуть деньги,Вернуть деньги (_Local_Return_Money),,,,
Банкомат не зачислил деньги ,Не зачислил деньги на карту (_Local_Didnt_Money_On_Card),Банкоматы (_Local_ATM),,,
Отменить покупку,Отменить платеж (_Local_Cancel_Payment),,,,
Не могу войти в личный кабинет не приходит ли код доступа,Временный пароль (_Local_Temp_Password),,,,
Не получается зайти по номеру карты и по номеру телефона,Временный пароль (_Local_Temp_Password),,,,
Первое первое временный пароль,Первое (_Local_First),Временный пароль (_Local_Temp_Password),,,
С банкомата не могу снять по карте наличные,Не выдал деньги (_Local_Didnt_Give_Money),Банкоматы (_Local_ATM),,,
Пароль\нужен пароль\ войти по пароль,Временный пароль (_Local_Temp_Password),,,,
Переводила я с другого банка себе на  банк,Статус (_Local_Status),Мне (переводили) (_Local_To_Me),,,
Я случайно оплатила заказ два раза,Отменить платеж (_Local_Cancel_Payment),Вернуть деньги (_Local_Return_Money),,,
